歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
999928,我在神經什麼,許佳慧,,\\SVR01\DISK01\,\\SVR02\DISK01\,999928.mpg,2021/11/26,,ㄨㄗㄕㄐㄕㄇ,WZSJSM,國語,0,揚聲,,,,,,1,6,1,1,浪漫,ㄒㄐㄏ,,女,,许佳慧,,我在神经什么
999927,看你流淚我會心碎,張雷,,\\SVR01\DISK01\,\\SVR02\DISK01\,999927.mpg,2021/11/26,,ㄎㄋㄌㄌㄨㄏㄒㄙ,KNLLWHXS,國語,0,揚聲,,,,,,1,8,1,1,浪漫,ㄓㄌ,,男,,张雷,,看你流泪我会心碎
999926,你在北京還好嗎,張冬玲,,\\SVR01\DISK01\,\\SVR02\DISK01\,999926.mpg,2021/11/26,,ㄋㄗㄅㄐㄏㄏㄇ,NZBJHHM,國語,0,揚聲,,,,,,1,7,1,1,浪漫,ㄓㄉㄌ,,女,,张冬玲,,你在北京还好吗
999925,有人愛著你,張雷,閆鹿楊,\\SVR01\DISK01\,\\SVR02\DISK01\,999925.mpg,2021/11/26,,ㄧㄖㄞㄓㄋ,YRAZN,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄓㄌ,ㄧㄌㄧ,男,女,张雷,闫鹿杨,有人爱著你
999924,組團出道,蒙面哥,,\\SVR01\DISK01\,\\SVR02\DISK01\,999924.mpg,2021/11/26,,ㄗㄊㄔㄉ,ZTCD,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄇㄇㄍ,,男,,蒙面哥,,组团出道
999923,孤獨淚,常笑,,\\SVR01\DISK01\,\\SVR02\DISK01\,999923.mpg,2021/11/26,,ㄍㄉㄌ,GDL,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄔㄒ,,男,,常笑,,孤独泪
999922,獨自傷悲,易欣,,\\SVR01\DISK01\,\\SVR02\DISK01\,999922.mpg,2021/11/26,,ㄉㄗㄕㄅ,DZSB,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄧㄒ,,女,,易欣,,独自伤悲
999921,好想再愛你,季彥霖,,\\SVR01\DISK01\,\\SVR02\DISK01\,999921.mpg,2021/11/26,,ㄏㄒㄗㄞㄋ,HXZAN,國語,1,揚聲,,,,,,1,5,1,1,浪漫,ㄐㄧㄌ,,女,,季彦霖,,好想再爱你
999920,無關執念,劉增瞳,,\\SVR01\DISK01\,\\SVR02\DISK01\,999920.mpg,2021/11/26,,ㄨㄍㄓㄋ,WGZN,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄌㄗㄊ,,女,,刘增瞳,,无关执念
999919,你曾對天發過誓,王韻,,\\SVR01\DISK01\,\\SVR02\DISK01\,999919.mpg,2021/11/26,,ㄋㄘㄉㄊㄈㄍㄕ,NCDTFGS,國語,0,揚聲,,,,,,1,7,1,1,浪漫,ㄨㄩ,,女,,王韵,,你曾对天发过誓
999918,第一默契,許凱,程瀟,\\SVR01\DISK01\,\\SVR02\DISK01\,999918.mpg,2021/11/26,,ㄉㄧㄇㄑ,DYMQ,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄒㄎ,ㄔㄒ,男,男,许凯,程潇,第一默契
999917,曲盡陳情,肖戰,,\\SVR01\DISK01\,\\SVR02\DISK01\,999917.mpg,2021/11/26,,ㄑㄐㄔㄑ,QJCQ,國語,2,揚聲,,,,,,1,4,1,1,浪漫,ㄒㄓ,,男,,肖战,,曲尽陈情
999916,無羈,肖戰,王一博,\\SVR01\DISK01\,\\SVR02\DISK01\,999916.mpg,2021/11/26,,ㄨㄐ,WJ,國語,2,揚聲,,,,,,1,2,1,1,浪漫,ㄒㄓ,ㄨㄧㄅ,男,男,肖战,王一博,无羁
999915,笑著原諒,夢然,,\\SVR01\DISK01\,\\SVR02\DISK01\,999915.mpg,2021/11/26,,ㄒㄓㄩㄌ,XZYL,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄇㄖ,,女,,梦然,,笑著原谅
999914,我的菜,魏如萱,影子計畫,\\SVR01\DISK01\,\\SVR02\DISK01\,999914.mpg,2021/11/26,,ㄨㄉㄘ,WDC,國語,2,揚聲,,,,,,1,3,1,1,浪漫,ㄨㄖㄒ,ㄧㄗㄐㄏ,女,團,魏如萱,影子计划,我的菜
999913,認同感,小男孩樂團,,\\SVR01\DISK01\,\\SVR02\DISK01\,999913.mpg,2021/11/26,,ㄖㄊㄍ,RTG,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄒㄋㄏㄌㄊ,,團,,小男孩乐团,,认同感
999912,愛到老,方怡萍,高向鵬,\\SVR01\DISK01\,\\SVR02\DISK01\,999912.mpg,2021/11/26,,ㄞㄉㄌ,ADL,台語,0,揚聲,,,,,,1,3,1,1,柔和,ㄈㄧㄆ,ㄍㄒㄆ,女,男,方怡萍,高向鹏,爱到老
999911,天涯的過客,方怡萍,高向鵬,\\SVR01\DISK01\,\\SVR02\DISK01\,999911.mpg,2021/11/26,,ㄊㄧㄉㄍㄎ,TYDGK,台語,0,揚聲,,,,,,1,5,1,1,柔和,ㄈㄧㄆ,ㄍㄒㄆ,女,男,方怡萍,高向鹏,天涯的过客
999910,一加一等於我愛你,賀世哲,,\\SVR01\DISK01\,\\SVR02\DISK01\,999910.mpg,2021/11/25,,ㄧㄐㄧㄉㄩㄨㄞㄋ,YJYDYWAN,國語,0,揚聲,,,,,,1,8,1,1,浪漫,ㄏㄕㄓ,,女,,贺世哲,,一加一等于我爱你
999909,他不愛了,許佳慧,,\\SVR01\DISK01\,\\SVR02\DISK01\,999909.mpg,2021/11/25,,ㄊㄅㄞㄌ,TBAL,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄒㄐㄏ,,女,,许佳慧,,他不爱了
999908,傻傻的女人,藍若兮,,\\SVR01\DISK01\,\\SVR02\DISK01\,999908.mpg,2021/11/25,,ㄕㄕㄉㄋㄖ,SSDNR,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄌㄖㄒ,,女,,蓝若兮,,傻傻的女人
